num,title,discipline,manual_causal,manual_relation_type,causal_majority_vote,causal_agreement_count,causal_category,relation_majority_vote,relation_agreement_count,relation_category
86.0,Allosteric inhibition of SHP2 phosphatase inhibits cancers driven by receptor tyrosine kinases.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
87.0,GPRC5A suppresses protein synthesis at the endoplasmic reticulum to prevent radiation-induced lung tumorigenesis.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
88.0,Glucocorticoid receptor signalling activates YAP in breast cancer.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
89.0,The FBXW2-MSX2-SOX2 axis regulates stem cell property and drug resistance of cancer cells.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
90.0,"FOXA1 mutations alter pioneering activity, differentiation and prostate cancer phenotypes.",Cancer Biology,yes,,yes,9,Easy,,0,N/A
91.0,Wnt activator FOXB2 drives the neuroendocrine differentiation of prostate cancer.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
92.0,EphB4 and ephrinB2 act in opposition in the head and neck tumor microenvironment.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
93.0,Control of CCND1 ubiquitylation by the catalytic SAGA subunit USP22 is essential for cell cycle progression through G1 in cancer cells.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
94.0,Alu-dependent RNA editing of GLI1 promotes malignant regeneration in multiple myeloma.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
95.0,Netrin-1 exerts oncogenic activities through enhancing yes-associated protein stability.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
96.0,The whole-genome landscape of medulloblastoma subtypes.,Cancer Biology,no,mechanistic/theory,no,6,Ambiguous,description,6,Ambiguous
97.0,Oncogenic β-catenin stimulation of AKT2-CAD-mediated pyrimidine synthesis is targetable vulnerability in liver cancer.,Cancer Biology,yes,,yes,6,Ambiguous,,0,N/A
98.0,EGFR feedback-inhibition by Ran-binding protein 6 is disrupted in cancer.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
99.0,ARID1A loss in neuroblastoma promotes the adrenergic-to-mesenchymal transition by regulating enhancer-mediated gene expression.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
100.0,Inhibiting androgen receptor splice variants with cysteine-selective irreversible covalent inhibitors to treat prostate cancer.,Cancer Biology,yes,,yes,8,Easy,,0,N/A
101.0,Miat and interacting protein Metadherin maintain a stem-like niche to promote medulloblastoma tumorigenesis and treatment resistance.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
102.0,An unexpected role for p53 in regulating cancer cell-intrinsic PD-1 by acetylation.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
103.0,"BRK phosphorylates SMAD4 for proteasomal degradation and inhibits tumor suppressor FRK to control SNAIL, SLUG, and metastatic potential.",Cancer Biology,yes,,yes,9,Easy,,0,N/A
104.0,Homeobox NKX2-3 promotes marginal-zone lymphomagenesis by activating B-cell receptor signalling and shaping lymphocyte dynamics.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
105.0,Polycomb proteins control proliferation and transformation independently of cell cycle checkpoints by regulating DNA replication.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
106.0,ROCK1 mechano-signaling dependency of human malignancies driven by TEAD/YAP activation.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
107.0,USP25 promotes pathological HIF-1-driven metabolic reprogramming and is a potential therapeutic target in pancreatic cancer.,Cancer Biology,no,mechanistic/theory,yes,9,Systematic Failure,,0,Unknown
108.0,SOD3 improves the tumor response to chemotherapy by stabilizing endothelial HIF-2α.,Cancer Biology,yes,,yes,9,Easy,,0,N/A
109.0,"The GAS6-AXL signaling pathway triggers actin remodeling that drives membrane ruffling, macropinocytosis, and cancer-cell invasion.",Cancer Biology,yes,,yes,9,Easy,,0,N/A
110.0,Chronic centrosome amplification without tumorigenesis.,Cancer Biology,no,mechanistic/theory,yes,6,Ambiguous,mechanistic/theory,2,Ambiguous
111.0,One-shot K-region-selective annulative π-extension for nanographene synthesis and functionalization.,Chemistry,no,measurement/method,no,6,Ambiguous,mechanistic/theory,3,Ambiguous
112.0,Automatic mapping of atoms across both simple and complex chemical reactions.,Chemistry,no,measurement/method,no,6,Ambiguous,measurement/method,6,Ambiguous
113.0,Ligand-enabled Ni-catalyzed hydroarylation and hydroalkenylation of internal alkenes with organoborons.,Chemistry,yes,,yes,5,Ambiguous,,0,N/A
114.0,Identification of a prismatic P<sub>3</sub>N<sub>3</sub> molecule formed from electron irradiated phosphine-nitrogen ices.,Chemistry,yes,,yes,7,Easy,,0,N/A
115.0,Rapid planning and analysis of high-throughput experiment arrays for reaction discovery.,Chemistry,no,description,no,6,Ambiguous,measurement/method,6,Ambiguous
116.0,Structural and spectroscopic characterization of an einsteinium complex.,Chemistry,no,mechanistic/theory,no,9,Easy,measurement/method,7,Systematic Failure
117.0,Naked d-orbital in a centrochiral Ni(II) complex as a catalyst for asymmetric [3+2] cycloaddition.,Chemistry,yes,,yes,6,Ambiguous,,0,N/A
118.0,Coordinating activation strategy for C(sp(3))-H/C(sp(3))-H cross-coupling to access β-aromatic α-amino acids.,Chemistry,no,measurement/method,yes,6,Ambiguous,measurement/method,3,Ambiguous
119.0,Brønsted acid-enhanced copper-catalyzed atroposelective cycloisomerization to axially chiral arylquinolizones via dearomatization of pyridine.,Chemistry,yes,,yes,8,Easy,,0,N/A
120.0,Synthesis of N-acyl sulfenamides via copper catalysis and their use as S-sulfenylating reagents of thiols.,Chemistry,no,measurement/method,yes,5,Ambiguous,measurement/method,4,Ambiguous
121.0,Metal-free electrochemical dihydroxylation of unactivated alkenes.,Chemistry,no,description,yes,5,Ambiguous,measurement/method,3,Ambiguous
122.0,Digitizing chemical discovery with a Bayesian explorer for interpreting reactivity data.,Chemistry,no,measurement/method,no,6,Ambiguous,measurement/method,6,Ambiguous
123.0,Photoswitchable dynamic conjugate addition-elimination reactions as a tool for light-mediated click and clip chemistry.,Chemistry,no,mechanistic/theory,yes,6,Ambiguous,measurement/method,3,Ambiguous
124.0,Autocatalytic and oscillatory reaction networks that form guanidines and products of their cyclization.,Chemistry,no,mechanistic/theory,yes,6,Ambiguous,mechanistic/theory,3,Ambiguous
125.0,Defying decomposition: the curious case of choline chloride.,Chemistry,no,hypothesis,no,6,Ambiguous,measurement/method,4,Ambiguous
126.0,Rhodium hydride enabled enantioselective intermolecular C-H silylation to access acyclic stereogenic Si-H.,Chemistry,yes,,yes,6,Ambiguous,,0,N/A
127.0,A dual-catalysis approach to enantioselective [2 + 2] photocycloadditions using visible light.,Chemistry,yes,,yes,8,Easy,,0,N/A
128.0,When immiscible becomes miscible-Methane in water at high pressures.,Chemistry,yes,,yes,5,Ambiguous,,0,N/A
129.0,Confinement effects and acid strength in zeolites.,Chemistry,yes,,no,5,Ambiguous,,0,N/A
130.0,Ligand relay catalysis for cobalt-catalyzed sequential hydrosilylation and hydrohydrazidation of terminal alkynes.,Chemistry,no,mechanistic/theory,yes,7,Systematic Failure,measurement/method,1,Ambiguous
131.0,The dicarbon bonding puzzle viewed with photoelectron imaging.,Chemistry,no,measurement/method,no,6,Ambiguous,mechanistic/theory,4,Ambiguous
132.0,A redox-neutral catechol synthesis.,Chemistry,no,mechanistic/theory,no,5,Ambiguous,measurement/method,3,Ambiguous
133.0,Nineteen-step total synthesis of (+)-phorbol.,Chemistry,no,mechanistic/theory,no,5,Ambiguous,measurement/method,5,Ambiguous
134.0,Self-assembled conjoined-cages.,Chemistry,no,mechanistic/theory,no,6,Ambiguous,description,4,Ambiguous
135.0,Capturing the generation and structural transformations of molecular ions.,Chemistry,no,measurement/method,no,5,Ambiguous,measurement/method,4,Ambiguous
136.0,"Synthesis, structural analysis, and properties of highly twisted alkenes 13,13'-bis(dibenzo[a,i]fluorenylidene) and its derivatives.",Chemistry,no,measurement/method,no,6,Ambiguous,measurement/method,3,Ambiguous
137.0,Predicting reaction performance in C-N cross-coupling using machine learning.,Chemistry,no,measurement/method,no,6,Ambiguous,measurement/method,6,Ambiguous
138.0,Retrosynthesis of multi-component metal-organic frameworks.,Chemistry,no,measurement/method,no,6,Ambiguous,measurement/method,6,Ambiguous
139.0,Exploring the performance of nanostructured reagents with organic-group-defined morphology in cross-coupling reaction.,Chemistry,no,mechanistic/theory,yes,5,Ambiguous,mechanistic/theory,2,Ambiguous
140.0,Control of chemoselectivity in asymmetric tandem reactions: Direct synthesis of chiral amines bearing nonadjacent stereocenters.,Chemistry,no,description,yes,8,Systematic Failure,mechanistic/theory,1,Ambiguous
,,,,,yes,3,Unknown,,0,N/A
