num,title,discipline,manual_causal,manual_relation_type,ensemble_causal,ensemble_relation,causal_vote_breakdown,relation_vote_breakdown,causal_correct,relation_correct
124.0,Autocatalytic and oscillatory reaction networks that form guanidines and products of their cyclization.,Chemistry,no,mechanistic/theory,yes,mechanistic/theory,yes:6 | no:3,mechanistic/theory:3,False,True
125.0,Defying decomposition: the curious case of choline chloride.,Chemistry,no,hypothesis,no,measurement/method,no:6 | yes:3,measurement/method:4 | mechanistic/theory:1 | description:1,True,False
129.0,Confinement effects and acid strength in zeolites.,Chemistry,yes,,no,mechanistic/theory,no:5 | yes:4,mechanistic/theory:4 | association:1,False,
130.0,Ligand relay catalysis for cobalt-catalyzed sequential hydrosilylation and hydrohydrazidation of terminal alkynes.,Chemistry,no,mechanistic/theory,yes,measurement/method,yes:7 | no:2,measurement/method:1 | mechanistic/theory:1,False,False
131.0,The dicarbon bonding puzzle viewed with photoelectron imaging.,Chemistry,no,measurement/method,no,mechanistic/theory,no:6 | yes:3,mechanistic/theory:4 | measurement/method:2,True,False
132.0,A redox-neutral catechol synthesis.,Chemistry,no,mechanistic/theory,no,measurement/method,no:5 | yes:4,measurement/method:3 | description:2,True,False
133.0,Nineteen-step total synthesis of (+)-phorbol.,Chemistry,no,mechanistic/theory,no,measurement/method,no:5 | yes:4,measurement/method:5,True,False
134.0,Self-assembled conjoined-cages.,Chemistry,no,mechanistic/theory,no,description,no:6 | yes:3,description:4 | measurement/method:2,True,False
139.0,Exploring the performance of nanostructured reagents with organic-group-defined morphology in cross-coupling reaction.,Chemistry,no,mechanistic/theory,yes,mechanistic/theory,yes:5 | no:4,mechanistic/theory:2 | association:1 | measurement/method:1,False,True
140.0,Control of chemoselectivity in asymmetric tandem reactions: Direct synthesis of chiral amines bearing nonadjacent stereocenters.,Chemistry,no,description,yes,mechanistic/theory,yes:8 | no:1,mechanistic/theory:1,False,False
